local_authority_highway_Id,Local_Highway_Authority_Name,Type,Type
S12000033,Aberdeen,acc,LAHighway
S12000034,Aberdeenshire,acc,LAHighway
S12000041,Angus,acc,LAHighway
S12000035,Argyll & Bute,acc,LAHighway
E09000002,Barking and Dagenham,acc,LAHighway
E09000003,Barnet,acc,LAHighway
E08000016,Barnsley,acc,LAHighway
E06000022,Bath and North East Somerset,acc,LAHighway
E06000055,Bedford,acc,LAHighway
E09000004,Bexley,acc,LAHighway
E08000025,Birmingham,acc,LAHighway
E06000008,Blackburn with Darwen,acc,LAHighway
E06000009,Blackpool,acc,LAHighway
W06000019,Blaenau Gwent,acc,LAHighway
E08000001,Bolton,acc,LAHighway
E06000028,Bournemouth,acc,LAHighway
E06000036,Bracknell Forest,acc,LAHighway
E08000032,Bradford,acc,LAHighway
E09000005,Brent,acc,LAHighway
W06000013,Bridgend,acc,LAHighway
E06000043,Brighton and Hove,acc,LAHighway
E06000023,Bristol,acc,LAHighway
E09000006,Bromley,acc,LAHighway
E10000002,Buckinghamshire,acc,LAHighway
E08000002,Bury,acc,LAHighway
W06000018,Caerphilly,acc,LAHighway
E08000033,Calderdale,acc,LAHighway
E10000003,Cambridgeshire,acc,LAHighway
E09000007,Camden,acc,LAHighway
W06000015,Cardiff,acc,LAHighway
W06000010,Carmarthenshire,acc,LAHighway
E06000056,Central Bedfordshire,acc,LAHighway
W06000008,Ceredigion,acc,LAHighway
E06000049,Cheshire East,acc,LAHighway
E06000050,Cheshire,acc,LAHighway
E09000001,London,acc,LAHighway
S12000005,Clackmannanshire,acc,LAHighway
W06000003,Conwy,acc,LAHighway
E06000052,Cornwall,acc,LAHighway
E06000047,County Durham,acc,LAHighway
E08000026,Coventry,acc,LAHighway
E09000008,Croydon,acc,LAHighway
E10000006,Cumbria,acc,LAHighway
E06000005,Darlington,acc,LAHighway
W06000004,Denbighshire,acc,LAHighway
E06000015,Derby,acc,LAHighway
E10000007,Derbyshire,acc,LAHighway
E10000008,Devon,acc,LAHighway
E08000017,Doncaster,acc,LAHighway
E10000009,Dorset,acc,LAHighway
E08000027,Dudley,acc,LAHighway
S12000006,Dumfries & Galloway,acc,LAHighway
S12000042,Dundee,acc,LAHighway
E09000009,Ealing,acc,LAHighway
S12000008,East Ayrshire,acc,LAHighway
S12000009,East Dunbartonshire,acc,LAHighway
S12000010,East Lothian,acc,LAHighway
S12000011,East Renfrewshire,acc,LAHighway
E06000011,East Riding of Yorkshire,acc,LAHighway
E10000011,East Sussex,acc,LAHighway
S12000036,Edinburgh,acc,LAHighway
E09000010,Enfield,acc,LAHighway
E10000012,Essex,acc,LAHighway
S12000014,Falkirk,acc,LAHighway
S12000015,Fife,acc,LAHighway
W06000005,Flintshire,acc,LAHighway
E08000020,Gateshead,acc,LAHighway
S12000043,Glasgow,acc,LAHighway
E10000013,Gloucestershire,acc,LAHighway
E09000011,Greenwich,acc,LAHighway
W06000002,Gwynedd,acc,LAHighway
